title,author,genre,extent,issue_id,date_issued,volno_string
Cover ImageA California Home,,images,1,518203,1913-08-01,"Vol. 6, No. 4 "
Front Advertisements,,advertisements,2,518203,1913-08-01,"Vol. 6, No. 4 "
Contents,,articles,1,518203,1913-08-01,"Vol. 6, No. 4 "
Along the Color Line,,articles,8,518203,1913-08-01,"Vol. 6, No. 4 "
Men of the Month,,articles,2,518203,1913-08-01,"Vol. 6, No. 4 "
Opinion,,articles,5,518203,1913-08-01,"Vol. 6, No. 4 "
Editorial,,articles,2,518203,1913-08-01,"Vol. 6, No. 4 "
Colored Los Angeles Greets 'The Crisis' in Its Own Motor Cars,,images,1,518203,1913-08-01,"Vol. 6, No. 4 "
Bill HudsonâHero,"Patten, T. R. ",fiction,1,518203,1913-08-01,"Vol. 6, No. 4 "
Our Neighbors,"Pearson, H. ",poetry,1,518203,1913-08-01,"Vol. 6, No. 4 "
The N.A.A.C.P.,,articles,2,518203,1913-08-01,"Vol. 6, No. 4 "
Colored California,,articles,4,518203,1913-08-01,"Vol. 6, No. 4 "
Publishers' Chat,,articles,1,518203,1913-08-01,"Vol. 6, No. 4 "
Back Advertisements,,advertisements,11,518203,1913-08-01,"Vol. 6, No. 4 "
Cover ImageProfile of a Woman Wearing a Wide-Brimmed Hat,Scurlock ,images,1,517516,1913-09-01,"Vol. 6, No. 5 "
Front Advertisements,,advertisements,1,517516,1913-09-01,"Vol. 6, No. 5 "
Contents,,articles,1,517516,1913-09-01,"Vol. 6, No. 5 "
Along the Color Line,,articles,6,517516,1913-09-01,"Vol. 6, No. 5 "
Men of the Month,,articles,1,517516,1913-09-01,"Vol. 6, No. 5 "
Opinion,,articles,7,517516,1913-09-01,"Vol. 6, No. 5 "
Editorial,,articles,1,517516,1913-09-01,"Vol. 6, No. 5 "
Seattle: Mr. Scott's Catering Business,,images,1,517516,1913-09-01,"Vol. 6, No. 5 "
The Summer School at Wilberforce: A Tennis Club,,images,1,517516,1913-09-01,"Vol. 6, No. 5 "
The Great Northwest,,articles,3,517516,1913-09-01,"Vol. 6, No. 5 "
The N.A.A.C.P.,,articles,1,517516,1913-09-01,"Vol. 6, No. 5 "
Segregation,A Veteran Civil Service Clerk ,articles,1,517516,1913-09-01,"Vol. 6, No. 5 "
Nocturne,"Cunningham, Alice Hathaway ",poetry,1,517516,1913-09-01,"Vol. 6, No. 5 "
Getting Off the Color Line,"Clarana, JosÃ© ",articles,2,517516,1913-09-01,"Vol. 6, No. 5 "
"CartoonThe New Education in the South: 'Domestic Science for Colored Girls

                Only'",,images,1,517516,1913-09-01,"Vol. 6, No. 5 "
"What to ReadBook Review of 'The ""Passin'-on"" Party' by Effie Graham","Fauset, Jessie ",articles,1,517516,1913-09-01,"Vol. 6, No. 5 "
"What to ReadBook Review of 'Evolution and Life' by Algernon B. Jackson, M.

                D.","Fauset, Jessie ",articles,1,517516,1913-09-01,"Vol. 6, No. 5 "
"What to ReadBook Review of 'Character Sketch of the Late Rev. J. Claudius May, F. R. G. S.' by Rev. J. T. Roberts","Fauset, Jessie ",articles,1,517516,1913-09-01,"Vol. 6, No. 5 "
Publishers' Chat,,articles,1,517516,1913-09-01,"Vol. 6, No. 5 "
Back Advertisements,,advertisements,11,517516,1913-09-01,"Vol. 6, No. 5 "
Cover ImageEleanor Arlene Fullum,,images,1,517569,1913-10-01,"Vol. 6, No. 6 "
Front Advertisements,,advertisements,2,517569,1913-10-01,"Vol. 6, No. 6 "
Contents,,articles,1,517569,1913-10-01,"Vol. 6, No. 6 "
Along the Color Line,,articles,4,517569,1913-10-01,"Vol. 6, No. 6 "
Thirty-Seven Photographs of Young Children,,images,1,517569,1913-10-01,"Vol. 6, No. 6 "
Men of the Month,,articles,2,517569,1913-10-01,"Vol. 6, No. 6 "
Opinion,,articles,9,517569,1913-10-01,"Vol. 6, No. 6 "
'Of Such Is the Kingdom of Heaven',,images,1,517569,1913-10-01,"Vol. 6, No. 6 "
Editorial,,articles,6,517569,1913-10-01,"Vol. 6, No. 6 "
Shadows of the VeilFour Photographs of Children,,images,1,517569,1913-10-01,"Vol. 6, No. 6 "
The Four SeasonsFour Photographs of Children,,images,1,517569,1913-10-01,"Vol. 6, No. 6 "
The Black Fairy,"Johnson, Fenton ",fiction,2,517569,1913-10-01,"Vol. 6, No. 6 "
A Girls' Clubhouse,"Curtis, Julia Childs ",articles,2,517569,1913-10-01,"Vol. 6, No. 6 "
Three Expositions,,articles,1,517569,1913-10-01,"Vol. 6, No. 6 "
The N.A.A.C.P.,,articles,10,517569,1913-10-01,"Vol. 6, No. 6 "
A Fable,"Riis, Jacob ",fiction,1,517569,1913-10-01,"Vol. 6, No. 6 "
The After Thought,,articles,1,517569,1913-10-01,"Vol. 6, No. 6 "
Back Advertisements,,advertisements,11,517569,1913-10-01,"Vol. 6, No. 6 "
Cover ImageAn Octoroon (Photographed from Life),,images,1,517622,1913-11-01,"Vol. 7, No. 1 "
Front Advertisements,,advertisements,2,517622,1913-11-01,"Vol. 7, No. 1 "
Contents,,articles,1,517622,1913-11-01,"Vol. 7, No. 1 "
Along the Color Line,,articles,5,517622,1913-11-01,"Vol. 7, No. 1 "
Men of the Month,,articles,2,517622,1913-11-01,"Vol. 7, No. 1 "
Officers of the Law,,poetry,1,517622,1913-11-01,"Vol. 7, No. 1 "
Opinion,,articles,8,517622,1913-11-01,"Vol. 7, No. 1 "
Editorial,,articles,1,517622,1913-11-01,"Vol. 7, No. 1 "
"The National Emancipation ExpositionIn New York City, October 22-31, 1913",,fiction,2,517622,1913-11-01,"Vol. 7, No. 1 "
The N. A. A. C. P.,,articles,3,517622,1913-11-01,"Vol. 7, No. 1 "
The Muslim Priest and the HeathenAn African Parable,"Stafford, A. O. ",fiction,2,517622,1913-11-01,"Vol. 7, No. 1 "
The Freedom of the FreeEmancipation Exposition Poem,"Brawley, Benjamin Griffith ",poetry,1,517622,1913-11-01,"Vol. 7, No. 1 "
Letter BoxAdvancement and Lynching: Letter I,"Newman, Luther L. ",letters,1,517622,1913-11-01,"Vol. 7, No. 1 "
Letter BoxAdvancement and Lynching: Letter II,J. H. T. ,letters,1,517622,1913-11-01,"Vol. 7, No. 1 "
Letter BoxFrom a Northern White Woman,,letters,1,517622,1913-11-01,"Vol. 7, No. 1 "
Letter BoxFrom a Southern White Man,,letters,1,517622,1913-11-01,"Vol. 7, No. 1 "
Letter BoxFrom a Colored Teacher,"Dunbar, H. S. ",letters,1,517622,1913-11-01,"Vol. 7, No. 1 "
Letter BoxInteresting but Depressing,"Chesnutt, Charles W. ",letters,1,517622,1913-11-01,"Vol. 7, No. 1 "
Letter BoxMoved by Reading 'The Crisis',"Avery, Flora E. ",letters,1,517622,1913-11-01,"Vol. 7, No. 1 "
Back Advertisements,,advertisements,15,517622,1913-11-01,"Vol. 7, No. 1 "
Cover ImageMadonna and the Child (Copyright Photograph from Life),"Brockman, W. L. ",images,1,517675,1913-12-01,"Vol. 7, No. 2 "
Front Advertisements,,advertisements,2,517675,1913-12-01,"Vol. 7, No. 2 "
Contents,,articles,1,517675,1913-12-01,"Vol. 7, No. 2 "
Along the Color Line,,articles,5,517675,1913-12-01,"Vol. 7, No. 2 "
Men of the Month,,articles,1,517675,1913-12-01,"Vol. 7, No. 2 "
'Mammy's Li'l Baby Boy',"Moseley, Grace ",images,1,517675,1913-12-01,"Vol. 7, No. 2 "
Opinion,,articles,9,517675,1913-12-01,"Vol. 7, No. 2 "
The National Emancipation Exposition in New York CityThe Temple of Beauty in the Great Court of Freedom,,images,1,517675,1913-12-01,"Vol. 7, No. 2 "
"The Historical Pageant of the Negro Race at the Emancipation

                ExpositionForty Maidens Dance before the Enthroned Pharaoh Ra, the

                Negro",,images,1,517675,1913-12-01,"Vol. 7, No. 2 "
Editorial,,articles,4,517675,1913-12-01,"Vol. 7, No. 2 "
A Man They Didn't KnowA StoryI,"Corrothers, James D. ",fiction,2,517675,1913-12-01,"Vol. 7, No. 2 "
The N.A.A.C.P.,,articles,3,517675,1913-12-01,"Vol. 7, No. 2 "
Children of the SunI-III,"Johnson, Fenton ",poetry,1,517675,1913-12-01,"Vol. 7, No. 2 "
The Burden,,articles,1,517675,1913-12-01,"Vol. 7, No. 2 "
Back Advertisements,,advertisements,11,517675,1913-12-01,"Vol. 7, No. 2 "
Front Advertisements,,advertisements,2,517728,1914-01-01,"Vol. 7, No. 3 "
Contents,,articles,1,517728,1914-01-01,"Vol. 7, No. 3 "
Along the Color Line,,articles,7,517728,1914-01-01,"Vol. 7, No. 3 "
CartoonIn the Saddle!,"Harris, Lorenzo ",images,1,517728,1914-01-01,"Vol. 7, No. 3 "
Men of the Month,,articles,3,517728,1914-01-01,"Vol. 7, No. 3 "
Opinion,,articles,7,517728,1914-01-01,"Vol. 7, No. 3 "
The Song of the Smoke,,poetry,1,517728,1914-01-01,"Vol. 7, No. 3 "
Editorial,,articles,2,517728,1914-01-01,"Vol. 7, No. 3 "
A Man They Didn't KnowII,"Corrothers, James D. ",fiction,2,517728,1914-01-01,"Vol. 7, No. 3 "
The N. A. A. C. P.,,articles,3,517728,1914-01-01,"Vol. 7, No. 3 "
A New Business Venture,"Pace, H. H. ",articles,3,517728,1914-01-01,"Vol. 7, No. 3 "
The Burden,,articles,1,517728,1914-01-01,"Vol. 7, No. 3 "
"What to Read'Ferris' Vindication'âBook Review of 'The African Abroad' by William H.

                Ferris",,articles,1,517728,1914-01-01,"Vol. 7, No. 3 "
"What to Read'A Tribune of the Black People'âBook Review of 'Norris Wright Cuney' by

                Maud Cuney Hare",,articles,1,517728,1914-01-01,"Vol. 7, No. 3 "
What to ReadHazelâBook Review of 'Hazel' by Mary White Ovington,,articles,1,517728,1914-01-01,"Vol. 7, No. 3 "
Back Advertisements,,advertisements,8,517728,1914-01-01,"Vol. 7, No. 3 "
Cover ImageDrawing of a Woman,"Jones, A. B. ",images,1,517781,1914-02-01,"Vol. 7, No. 4 "
Front Advertisements,,advertisements,2,517781,1914-02-01,"Vol. 7, No. 4 "
Contents,,articles,1,517781,1914-02-01,"Vol. 7, No. 4 "
Along the Color Line,,articles,7,517781,1914-02-01,"Vol. 7, No. 4 "
Opinion,,articles,7,517781,1914-02-01,"Vol. 7, No. 4 "
The Philadelphia Negro Dentist,"Barber, J. Max ",articles,2,517781,1914-02-01,"Vol. 7, No. 4 "
The Episcopal Church,"Gardiner, Henrietta ",letters,1,517781,1914-02-01,"Vol. 7, No. 4 "
Certainty,"Hill, Leslie Pinckney ",poetry,1,517781,1914-02-01,"Vol. 7, No. 4 "
"His Majesty, The Late Menelik II, King of the Kings of Ethiopia, Emperor of

                Abyssinia, 1844-1913",,images,1,517781,1914-02-01,"Vol. 7, No. 4 "
Men of the Month,,articles,1,517781,1914-02-01,"Vol. 7, No. 4 "
Editorial,,articles,4,517781,1914-02-01,"Vol. 7, No. 4 "
The Annual Meeting of the N.A.A.C.P.,,articles,4,517781,1914-02-01,"Vol. 7, No. 4 "
The Hoodoo,"Gruening, Martha ",fiction,4,517781,1914-02-01,"Vol. 7, No. 4 "
The BurdenColored Men and Women Lynched without Trial,,articles,1,517781,1914-02-01,"Vol. 7, No. 4 "
A Little Pile of Books and Pamphlets,,articles,1,517781,1914-02-01,"Vol. 7, No. 4 "
Back Advertisements,,advertisements,5,517781,1914-02-01,"Vol. 7, No. 4 "
Cover Image'The Mother' (Photograph from Life),,images,1,517834,1914-03-01,"Vol. 7, No. 5 "
Front Advertisements,,advertisements,2,517834,1914-03-01,"Vol. 7, No. 5 "
Contents,,articles,1,517834,1914-03-01,"Vol. 7, No. 5 "
Along the Color Line,,articles,7,517834,1914-03-01,"Vol. 7, No. 5 "
"Mrs. Maud Cuney HarePianist, Author and Editor of 'The Crisis' Music Notes",,images,1,517834,1914-03-01,"Vol. 7, No. 5 "
Men of the Month,,articles,3,517834,1914-03-01,"Vol. 7, No. 5 "
Universal Brotherhood,"von Seydewitz, Margaret ",poetry,1,517834,1914-03-01,"Vol. 7, No. 5 "
On Segregation,"Tunnell, Arthur ",poetry,1,517834,1914-03-01,"Vol. 7, No. 5 "
Opinion,,articles,10,517834,1914-03-01,"Vol. 7, No. 5 "
"The Social Life of Colored AmericaIIThe Bachelor-Benedicts' Assembly, New York City",,images,1,517834,1914-03-01,"Vol. 7, No. 5 "
Editorial,,articles,3,517834,1914-03-01,"Vol. 7, No. 5 "
The Association of Negro Secondary and Industrial Schools,"Hill, Leslie Pinckney ",articles,2,517834,1914-03-01,"Vol. 7, No. 5 "
The Struggle,"Bishop, Samuel H. ",fiction,2,517834,1914-03-01,"Vol. 7, No. 5 "
"The Smith-Lever Bill and Other Work of the National Association for the

                Advancement of Colored People",,articles,4,517834,1914-03-01,"Vol. 7, No. 5 "
The Civil Rights Act,"Stafford, Wendell Phillips Justice ",articles,2,517834,1914-03-01,"Vol. 7, No. 5 "
Some More BooksBook Review of 'Facts of Reconstruction' by John R. Lynch,,articles,1,517834,1914-03-01,"Vol. 7, No. 5 "
"Some More BooksBook Review of 'Gouldtown' by William Steward and T.G.

                Steward",,articles,1,517834,1914-03-01,"Vol. 7, No. 5 "
"Some More BooksBook Review of 'Masterpieces of Negro Eloquence' edited by Alice Moore

                Dunbar",,articles,1,517834,1914-03-01,"Vol. 7, No. 5 "
Back Advertisements,,advertisements,5,517834,1914-03-01,"Vol. 7, No. 5 "
Cover ImageWoman Kneeling before Stone Cross (Photograph from Life),"Brockman, W. L. ",images,1,517887,1914-04-01,"Vol. 7, No. 6 "
Front Advertisements,,advertisements,2,517887,1914-04-01,"Vol. 7, No. 6 "
Contents,,articles,1,517887,1914-04-01,"Vol. 7, No. 6 "
Along the Color Line,,articles,4,517887,1914-04-01,"Vol. 7, No. 6 "
"Men's Bible Class, Metropolitan A.M.E. Church, Washington, D.

                C.",,images,1,517887,1914-04-01,"Vol. 7, No. 6 "
Men of the Month,,articles,3,517887,1914-04-01,"Vol. 7, No. 6 "
"Colored Railway Mail Clerks, Missouri",,images,1,517887,1914-04-01,"Vol. 7, No. 6 "
Opinion,,articles,7,517887,1914-04-01,"Vol. 7, No. 6 "
Editorial,,articles,3,517887,1914-04-01,"Vol. 7, No. 6 "
Spring,"Moore, William ",poetry,1,517887,1914-04-01,"Vol. 7, No. 6 "
The New Abolition and Its Work,,articles,1,517887,1914-04-01,"Vol. 7, No. 6 "
Our Legal Bureau,"Brinsmade, Chapin ",articles,1,517887,1914-04-01,"Vol. 7, No. 6 "
JimmyA Story,"Wilson, French ",fiction,3,517887,1914-04-01,"Vol. 7, No. 6 "
The Negro as a Land Owner,"Wilbur, Henry W. ",articles,1,517887,1914-04-01,"Vol. 7, No. 6 "
In Moslem Spain,"Gould, Joseph F. ",articles,2,517887,1914-04-01,"Vol. 7, No. 6 "
Song and StoryBook Review of 'Afro-American Folksongs' by H. E. Krehbiel,,articles,1,517887,1914-04-01,"Vol. 7, No. 6 "
"Song and StoryBook Review of 'Liberia' by Frederick Starr and 'Military Morale of

                Nations and Races' by Charles Young",,articles,1,517887,1914-04-01,"Vol. 7, No. 6 "
Song and StoryBook Review of 'A Little Dreaming' by Fenton Johnson,,articles,1,517887,1914-04-01,"Vol. 7, No. 6 "
Song and StoryBook Review of 'Animal Fables from the Dark Continent' by A. O. Stafford,,articles,1,517887,1914-04-01,"Vol. 7, No. 6 "
"Song and StoryBook Review of 'A Child's Story of Dunbar' by Julia L.

                Henderson",,articles,1,517887,1914-04-01,"Vol. 7, No. 6 "
"Song and StoryBook Review of 'The Strange Case of Eric Marotte' by J. I.

                Pearce",,articles,1,517887,1914-04-01,"Vol. 7, No. 6 "
The Burden,,articles,1,517887,1914-04-01,"Vol. 7, No. 6 "
Back Advertisements,,advertisements,9,517887,1914-04-01,"Vol. 7, No. 6 "
"Cover ImageColored Odd Fellows Building, Atlanta, Ga.",,images,1,519021,1914-05-01,"Vol. 8, No. 1 "
Front Advertisements,,advertisements,2,519021,1914-05-01,"Vol. 8, No. 1 "
Contents,,articles,1,519021,1914-05-01,"Vol. 8, No. 1 "
Along the Color Line,,articles,5,519021,1914-05-01,"Vol. 8, No. 1 "
Men of the Month,,articles,2,519021,1914-05-01,"Vol. 8, No. 1 "
Opinion,,articles,6,519021,1914-05-01,"Vol. 8, No. 1 "
Two LettersFrom a Northern White Woman,,letters,1,519021,1914-05-01,"Vol. 8, No. 1 "
Two LettersFrom a Southern White Man,"Partridge, H. E. ",letters,1,519021,1914-05-01,"Vol. 8, No. 1 "
EditorialA Question of Policy,"Dole, Charles F. ",letters,1,519021,1914-05-01,"Vol. 8, No. 1 "
EditorialThe Philiosophy of Mr. Dole,,articles,2,519021,1914-05-01,"Vol. 8, No. 1 "
Atlanta Striving,"Brawley, Benjamin Griffith ",articles,4,519021,1914-05-01,"Vol. 8, No. 1 "
The Five-Hundred-Dollar HabitHow One Branch Reaches the People,,articles,2,519021,1914-05-01,"Vol. 8, No. 1 "
Our Legal Bureau,"Brinsmade, Chapin ",articles,2,519021,1914-05-01,"Vol. 8, No. 1 "
The 'Crisis',"Pickens, William ",poetry,1,519021,1914-05-01,"Vol. 8, No. 1 "
The National Benefit Association,,articles,2,519021,1914-05-01,"Vol. 8, No. 1 "
Some Frank FactsBook Review of 'The Human Way' Edited by James E. McCulloch,,articles,1,519021,1914-05-01,"Vol. 8, No. 1 "
The Burden,,articles,1,519021,1914-05-01,"Vol. 8, No. 1 "
"The BurdenFiat Justitia, Ruat Coelum!",,images,1,519021,1914-05-01,"Vol. 8, No. 1 "
Back Advertisements,,advertisements,9,519021,1914-05-01,"Vol. 8, No. 1 "
Cover ImageThe Spingarn Medal,,images,1,519074,1914-06-01,"Vol. 8, No. 2 "
Front Advertisements,,advertisements,2,519074,1914-06-01,"Vol. 8, No. 2 "
Contents,,articles,1,519074,1914-06-01,"Vol. 8, No. 2 "
Along the Color Line,,articles,5,519074,1914-06-01,"Vol. 8, No. 2 "
"The New Colored Masonic Temple at Jacksonville, Fla.",,images,1,519074,1914-06-01,"Vol. 8, No. 2 "
Men of the Month,,articles,2,519074,1914-06-01,"Vol. 8, No. 2 "
Opinion,,articles,6,519074,1914-06-01,"Vol. 8, No. 2 "
Editorial,,articles,3,519074,1914-06-01,"Vol. 8, No. 2 "
A Song of May and June,"Corrothers, James D. ",poetry,1,519074,1914-06-01,"Vol. 8, No. 2 "
The N. A. A. C. P.The Sixth Annual Conference,,articles,4,519074,1914-06-01,"Vol. 8, No. 2 "
Emancipation,"Fuller, Meta Warrick ",images,1,519074,1914-06-01,"Vol. 8, No. 2 "
The Spingarn Medal,,articles,1,519074,1914-06-01,"Vol. 8, No. 2 "
"Listen, O Isles!","Corrothers, James D. ",poetry,1,519074,1914-06-01,"Vol. 8, No. 2 "
The Shell Road WitchPhotographed from Life,"Miner, L. R. ",images,1,519074,1914-06-01,"Vol. 8, No. 2 "
The Shell Road Witch,"Budd, M. ",fiction,2,519074,1914-06-01,"Vol. 8, No. 2 "
History and FactsBook Review of 'The Negro in American History' by John W. Cromwell,,articles,1,519074,1914-06-01,"Vol. 8, No. 2 "
History and FactsBook Review of 'Living Conditions among Negroes in the Ninth Ward; a Social Survey' by Charles Wesley Burton,,articles,1,519074,1914-06-01,"Vol. 8, No. 2 "
History and FactsBook Review of 'Duplication of Schools for Negro Youth' by W. T. B. Williams,,articles,1,519074,1914-06-01,"Vol. 8, No. 2 "
Back Advertisements,,advertisements,8,519074,1914-06-01,"Vol. 8, No. 2 "
Cover ImageDrawing of a Couple at Commencement,"Adams, John Henry ",images,1,519127,1914-07-01,"Vol. 8, No. 3 "
Front Advertisements,,advertisements,2,519127,1914-07-01,"Vol. 8, No. 3 "
Contents,,articles,1,519127,1914-07-01,"Vol. 8, No. 3 "
Along the Color Line,,articles,5,519127,1914-07-01,"Vol. 8, No. 3 "
Men of the Month,,articles,1,519127,1914-07-01,"Vol. 8, No. 3 "
Opinion,,articles,5,519127,1914-07-01,"Vol. 8, No. 3 "
Editorial,,articles,3,519127,1914-07-01,"Vol. 8, No. 3 "
Colleges and Their Graduates in 1914,,articles,11,519127,1914-07-01,"Vol. 8, No. 3 "
Portraits of Sixty-One Ranking Colored Graduates,,articles,1,519127,1914-07-01,"Vol. 8, No. 3 "
A Missionary of Education and His Last Class,,images,1,519127,1914-07-01,"Vol. 8, No. 3 "
A Year's WorkReports of the National Association for the Advancement of Colored People at the Baltimore Meeting,,articles,3,519127,1914-07-01,"Vol. 8, No. 3 "
My House and a Glimpse of My Life ThereinA Story,"Fauset, Jessie ",fiction,2,519127,1914-07-01,"Vol. 8, No. 3 "
The Burden,,,1,519127,1914-07-01,"Vol. 8, No. 3 "
Back Advertisements,,advertisements,9,519127,1914-07-01,"Vol. 8, No. 3 "
Cover Image'August'; A Study from Life,"Miner, L. R. ",images,1,519180,1914-08-01,"Vol. 8, No. 4 "
Front Advertisements,,advertisements,2,519180,1914-08-01,"Vol. 8, No. 4 "
Contents,,articles,1,519180,1914-08-01,"Vol. 8, No. 4 "
Along the Color Line,,articles,5,519180,1914-08-01,"Vol. 8, No. 4 "
Men of the Month,,articles,2,519180,1914-08-01,"Vol. 8, No. 4 "
The Awakening,"Bohanan, Otto ",poetry,1,519180,1914-08-01,"Vol. 8, No. 4 "
Opinion,,articles,6,519180,1914-08-01,"Vol. 8, No. 4 "
Editorial,,articles,2,519180,1914-08-01,"Vol. 8, No. 4 "
"Social Life in Colored AmericaIIIA Dinner at the Loendi Club, Pittsburg",,images,1,519180,1914-08-01,"Vol. 8, No. 4 "
How the National Association for the Advancement of Colored People Began,"Ovington, Mary White ",articles,4,519180,1914-08-01,"Vol. 8, No. 4 "
His Motto,"Dixon, Lottie Burrell ",fiction,2,519180,1914-08-01,"Vol. 8, No. 4 "
The New Wilberforce,,articles,3,519180,1914-08-01,"Vol. 8, No. 4 "
Problem LiteratureBook Review of 'Out of the House of Bondage' by Kelly Miller,,articles,1,519180,1914-08-01,"Vol. 8, No. 4 "
"Problem LiteratureBook Review of 'Modern Industry in Relation to the Family, Health, Education, and Morality"" by Florence Kelly",,articles,1,519180,1914-08-01,"Vol. 8, No. 4 "
Problem LiteratureBook Review of 'Progressivism and After' by William English Walling,,articles,1,519180,1914-08-01,"Vol. 8, No. 4 "
Problem LiteratureReview of Writings by  G. T. Stephenson,,articles,1,519180,1914-08-01,"Vol. 8, No. 4 "
The BurdenColored Men and Women Lynched Without Trial,,articles,1,519180,1914-08-01,"Vol. 8, No. 4 "
The BurdenColored Men and Women Lynched in 1914,,articles,1,519180,1914-08-01,"Vol. 8, No. 4 "
The BurdenDiscrimination,Anon ,letters,1,519180,1914-08-01,"Vol. 8, No. 4 "
The BurdenA White School Trustee to a Colored Applicant,"Cunningham, F. L. M.D. ",letters,1,519180,1914-08-01,"Vol. 8, No. 4 "
The BurdenA White School Trustee to a Colored ApplicantâResponse to F. L. Cunningham's Letter,"Editor of ""The Crisis"" ",letters,1,519180,1914-08-01,"Vol. 8, No. 4 "
The BurdenThe Souls of White Folk,Anon ,letters,1,519180,1914-08-01,"Vol. 8, No. 4 "
The BurdenThe Ambitions of Lorenzo,"Warfield, Lorenzo G. ",letters,1,519180,1914-08-01,"Vol. 8, No. 4 "
Back Advertisements,,advertisements,9,519180,1914-08-01,"Vol. 8, No. 4 "
Cover ImageDrawing of a Woman's Head,"Adams, John Henry ",images,1,519233,1914-09-01,"Vol. 8, No. 5 "
Front Advertisements,,advertisements,2,519233,1914-09-01,"Vol. 8, No. 5 "
Contents,,articles,1,519233,1914-09-01,"Vol. 8, No. 5 "
Along the Color Line,,articles,5,519233,1914-09-01,"Vol. 8, No. 5 "
Men of the Month,,articles,2,519233,1914-09-01,"Vol. 8, No. 5 "
Opinion,,articles,6,519233,1914-09-01,"Vol. 8, No. 5 "
"Colored Surgeon-in-Chief, Interns and Nurses, General City Hospital, Kansas City, Mo.",,images,1,519233,1914-09-01,"Vol. 8, No. 5 "
Editorial,,articles,3,519233,1914-09-01,"Vol. 8, No. 5 "
King Cotton and the Negro,"Ross, Jasper ",poetry,1,519233,1914-09-01,"Vol. 8, No. 5 "
N. A. A. C. P.,,articles,1,519233,1914-09-01,"Vol. 8, No. 5 "
Hope Deferred,"Dunbar, Paul Lawrence Mrs. ",fiction,4,519233,1914-09-01,"Vol. 8, No. 5 "
Don Francisco,"Bixby, Clarence ",articles,1,519233,1914-09-01,"Vol. 8, No. 5 "
National League of Urban Conditions among Negroes,,articles,3,519233,1914-09-01,"Vol. 8, No. 5 "
A Book and a Play,,articles,2,519233,1914-09-01,"Vol. 8, No. 5 "
The Burden,,articles,2,519233,1914-09-01,"Vol. 8, No. 5 "
Back Advertisements,,advertisements,9,519233,1914-09-01,"Vol. 8, No. 5 "
Cover ImagePhotograph of a Little Girl,"Battey, C. M. ",images,1,519286,1914-10-01,"Vol. 8, No. 6 "
Front Advertisements,,advertisements,2,519286,1914-10-01,"Vol. 8, No. 6 "
Contents,,articles,1,519286,1914-10-01,"Vol. 8, No. 6 "
Eighty-Seven Pictures of Colored Babies,,images,1,519286,1914-10-01,"Vol. 8, No. 6 "
Along the Color Line,,articles,6,519286,1914-10-01,"Vol. 8, No. 6 "
One of Manhattan's 'Finest',,images,1,519286,1914-10-01,"Vol. 8, No. 6 "
Men of the Month,,articles,2,519286,1914-10-01,"Vol. 8, No. 6 "
Opinion,,articles,7,519286,1914-10-01,"Vol. 8, No. 6 "
Mothers in Council,,articles,3,519286,1914-10-01,"Vol. 8, No. 6 "
EditorialOf the Children of Peace,,articles,1,519286,1914-10-01,"Vol. 8, No. 6 "
The N. A. A. C. P.,,articles,2,519286,1914-10-01,"Vol. 8, No. 6 "
The Fairy Good Willa,"Jones, Minnibelle ",fiction,2,519286,1914-10-01,"Vol. 8, No. 6 "
Photograph of Frederick Douglass IIIA Great-Grandfather's Great Grandson,,images,1,519286,1914-10-01,"Vol. 8, No. 6 "
A Lullaby,"Moten, Cora J. Ball ",poetry,1,519286,1914-10-01,"Vol. 8, No. 6 "
War,M. W. O. ,fiction,1,519286,1914-10-01,"Vol. 8, No. 6 "
Our Baby Pictures,,articles,2,519286,1914-10-01,"Vol. 8, No. 6 "
The Letter Box,"Thayer, Alonzo C. ",letters,2,519286,1914-10-01,"Vol. 8, No. 6 "
Our Puzzle BoxFor the Children,,,1,519286,1914-10-01,"Vol. 8, No. 6 "
Back Advertisements,,advertisements,7,519286,1914-10-01,"Vol. 8, No. 6 "
Cover Image'November'; Photograph from Life,"Miner, L. M. ",images,1,519339,1914-11-01,"Vol. 9, No. 1 "
Front Advertisements,,advertisements,2,519339,1914-11-01,"Vol. 9, No. 1 "
Contents,,articles,1,519339,1914-11-01,"Vol. 9, No. 1 "
Along the Color Line,,articles,4,519339,1914-11-01,"Vol. 9, No. 1 "
Men of the Month,,articles,2,519339,1914-11-01,"Vol. 9, No. 1 "
Opinion,,articles,6,519339,1914-11-01,"Vol. 9, No. 1 "
Where Does Your Congressman Stand?A Questionaire,,articles,2,519339,1914-11-01,"Vol. 9, No. 1 "
The N. A. A. C. P.,,articles,1,519339,1914-11-01,"Vol. 9, No. 1 "
'Out of Africa Have I Called My Son!'Black Soldiers from Senegal Fighting [for the] Civilization of Europe against Itself,,images,1,519339,1914-11-01,"Vol. 9, No. 1 "
Editorial,,articles,2,519339,1914-11-01,"Vol. 9, No. 1 "
The Burden of Black Women,,poetry,1,519339,1914-11-01,"Vol. 9, No. 1 "
"The Colored Y. M. C. A. Building, Washington D.C.",,images,1,519339,1914-11-01,"Vol. 9, No. 1 "
The Colored Y. M. C. A.,"Tobias, C. H. ",articles,3,519339,1914-11-01,"Vol. 9, No. 1 "
